Geography,Projection scenario LG: low-growth 3,Projection scenario M1: medium-growth 3,Projection scenario M2: medium-growth 3,Projection scenario M3: medium-growth 3,Projection scenario M4: medium-growth 3,Projection scenario M5: medium-growth 3,Projection scenario M6: medium-growth 3,Projection scenario HG: high-growth 3,Projection scenario SA: slow-aging 3,Projection scenario FA: fast-aging 3
"Rimbey, Alberta","1,997","2,226","2,237","2,119","2,138","2,039","2,409","2,500","2,414","2,065"
"Pincher Creek No. 9, Alberta","2,039","2,224","2,226","2,118","2,131","2,070","2,392","2,442","2,300","2,162"
"Blood 148, Alberta","2,054","2,312","2,334","2,206","2,222","2,114","2,511","2,627","2,535","2,127"
"Athabasca, Alberta","2,069","2,303","2,333","2,205","2,214","2,102","2,477","2,580","2,498","2,122"
"Clear Hills, Alberta","2,070","2,383","2,413","2,280","2,292","2,161","2,596","2,759","2,684","2,117"
"Fox Creek, Alberta","2,112","2,362","2,391","2,258","2,272","2,167","2,551","2,664","2,562","2,203"
"Beaverlodge, Alberta","2,119","2,384","2,417","2,289","2,297","2,170","2,583","2,678","2,601","2,192"
"Sundre, Alberta","2,142","2,346","2,369","2,254","2,259","2,151","2,527","2,580","2,473","2,243"
"Tofield, Alberta","2,155","2,427","2,464","2,327","2,337","2,209","2,639","2,745","2,669","2,224"
"Stirling, Alberta","2,156","2,486","2,532","2,393","2,401","2,240","2,711","2,890","2,832","2,194"
"Flagstaff County, Alberta","2,194","2,428","2,449","2,326","2,342","2,224","2,631","2,707","2,629","2,263"
"Minburn County No. 27, Alberta","2,203","2,470","2,499","2,369","2,386","2,262","2,689","2,801","2,709","2,272"
"Hanna, Alberta","2,229","2,458","2,477","2,350","2,368","2,239","2,659","2,732","2,655","2,290"
"High Prairie, Alberta","2,249","2,606","2,662","2,494","2,504","2,341","2,819","3,029","2,966","2,293"
"Lesser Slave River No. 124, Alberta","2,253","2,493","2,521","2,390","2,397","2,277","2,689","2,765","2,689","2,332"
"Thorhild County, Alberta","2,273","2,556","2,595","2,454","2,462","2,334","2,781","2,914","2,821","2,336"
"Northern Lights County, Alberta","2,337","2,658","2,694","2,557","2,563","2,400","2,887","3,048","2,971","2,386"
"Saddle Lake 125, Alberta","2,355","2,691","2,734","2,580","2,589","2,430","2,924","3,072","2,999","2,421"
