CSDNAME,population_2021,population_2025,population_2050,pop_change_2021_2025,pop_change_2025_2050
Raymond,4334,4594,7855,5.99907706506691,70.9838920330866
Northern Lights County,4248,4115,3048,-3.13088512241055,-25.9295261239368
Vermilion,4078,4192,4638,2.79548798430603,10.6393129770992
High Level,4051,4390,8166,8.3683041224389,86.0136674259681
Smoky Lake County,3983,4043,3534,1.50640220938991,-12.5896611427158
Saddle Lake 125,3912,3871,3072,-1.0480572597137,-20.6406613278223
Claresholm,3895,4242,4999,8.90885750962773,17.8453559641678
Lamont County,3855,3918,5952,1.63424124513619,51.9142419601838
Cardston,3822,3863,5146,1.0727367870225,33.2125291224437
Flagstaff County,3794,3724,2707,-1.8450184501845,-27.3093447905478
Pincher Creek,3728,3890,4340,4.34549356223176,11.5681233933162
Crossfield,3727,4075,7110,9.33726858062785,74.478527607362
Forty Mile County No. 8,3725,3927,5180,5.42281879194631,31.9073083778966
Siksika 146,3688,3645,3652,-1.16594360086768,0.192043895747599
Penhold,3640,3812,4586,4.72527472527473,20.3043022035677
Two Hills County No. 21,3514,3626,3838,3.18725099601594,5.84666298952013
Opportunity No. 17,3500,3592,4605,2.62857142857143,28.2015590200445
Fort Macleod,3402,3945,8383,15.9611992945326,112.496831432193
Samson 137,3365,3427,3156,1.84249628528975,-7.9077910709075
Gibbons,3332,3352,3936,0.600240096038415,17.4224343675418
Pincher Creek No. 9,3329,3176,2442,-4.59597476719736,-23.1108312342569
Three Hills,3264,3502,4732,7.29166666666667,35.1227869788692
Thorhild County,3128,3147,2914,0.607416879795396,-7.40387670797585
Minburn County No. 27,3102,3142,2801,1.28949065119278,-10.852959898154
Clear Hills,3100,3110,2759,0.32258064516129,-11.2861736334405
Coalhurst,2994,3244,4470,8.3500334001336,37.7928483353884
Lesser Slave River No. 124,2941,2980,2765,1.32607956477389,-7.21476510067114
Fairview,2912,2918,3241,0.206043956043956,11.0692254969157
Athabasca,2842,2887,2580,1.58339197748065,-10.6338759958434
Black Diamond,2804,2910,3513,3.78031383737518,20.7216494845361
Sundre,2751,2683,2580,-2.4718284260269,-3.83898620946701
Grimshaw,2687,2799,3255,4.16821734276144,16.2915326902465
Turner Valley,2686,2784,2907,3.64854802680566,4.41810344827586
Fox Lake 162,2588,2745,5180,6.06646058732612,88.7067395264117
Magrath,2560,2566,2247,0.234375,-12.4318004676539
Rimbey,2534,2502,2500,-1.26282557221784,-0.0799360511590727
Sexsmith,2511,2561,2168,1.99123855037834,-15.3455681374463
Hanna,2472,2665,2732,7.80744336569579,2.5140712945591
High Prairie,2463,2607,3029,5.84652862362972,16.1871883390871
Saddle Hills County,2414,2449,3242,1.44987572493786,32.3805634953042
Tsuu T'ina Nation 145,2381,2583,4761,8.48383032339353,84.3205574912892
Beaverlodge,2342,2454,2678,4.78223740392827,9.1279543602282
Ermineskin 138,2340,2359,2129,0.811965811965812,-9.74989402289106
Calmar,2264,2345,2447,3.57773851590106,4.34968017057569
Nanton,2221,2522,3756,13.5524538496173,48.9294210943695
Redwater,2189,2301,3492,5.11649154865235,51.7601043024772
Provost No. 52,2123,2092,1681,-1.46019783325483,-19.6462715105163
Bow Island,2106,2310,4298,9.68660968660969,86.0606060606061
Tofield,2104,2122,2745,0.855513307984791,29.3590951932139
Paintearth County No. 18,2046,2014,1672,-1.56402737047898,-16.9811320754717
Picture Butte,2008,2380,5357,18.5258964143426,125.084033613445
Smoky River No. 130,1960,1941,1806,-0.969387755102041,-6.95517774343122
Provost,1957,1875,1285,-4.19008686765457,-31.4666666666667
Millet,1951,1967,2487,0.820092260379293,26.4361972547026
Special Area No. 2,1899,1837,1215,-3.26487625065824,-33.8595536200327
Enoch Cree Nation,1897,1947,2413,2.63574064312072,23.9342578325629
Starland County,1876,1820,1256,-2.98507462686567,-30.989010989011
Fox Creek,1850,2013,2664,8.81081081081081,32.3397913561848
Vulcan,1809,1922,2223,6.2465450525152,15.6607700312175
Lamont,1789,1856,2334,3.74510899944103,25.7543103448276
Northern Sunrise County,1764,1848,1931,4.76190476190476,4.49134199134199
Valleyview,1724,1807,2338,4.81438515081206,29.3857221914776
Bighorn No. 8,1646,1857,3063,12.8189550425273,64.9434571890145
Fairview No. 136,1626,1647,2061,1.29151291512915,25.1366120218579
Piikani 147,1626,1529,1197,-5.96555965559656,-21.7135382603009
Peace No. 135,1620,1581,1164,-2.40740740740741,-26.3757115749526
Birch Hills County,1567,1522,1510,-2.8717294192725,-0.788436268068331
Bon Accord,1514,1457,1232,-3.76486129458388,-15.442690459849
Wembley,1501,1516,1296,0.999333777481679,-14.5118733509235
Two Hills,1461,1698,3282,16.2217659137577,93.2862190812721
Elk Point,1442,1481,2138,2.70457697642164,44.3619176232275
Bruderheim,1379,1439,1933,4.35097897026831,34.3293954134816
Mayerthorpe,1379,1419,2586,2.90065264684554,82.2410147991543
Louis Bull 138B,1370,1394,1388,1.75182481751825,-0.430416068866571
Sturgeon Lake 154,1334,1326,881,-0.599700149925038,-33.5595776772247
Vauxhall,1330,1451,2687,9.09774436090226,85.1826326671261
Bowden,1323,1315,1386,-0.604686318972033,5.39923954372624
Legal,1276,1253,1102,-1.8025078369906,-12.0510774142059
Special Area No. 4,1263,1171,765,-7.28424386381631,-34.6712211784799
Bassano,1250,1381,2570,10.48,86.0970311368574
Swan Hills,1239,1430,2084,15.4156577885391,45.7342657342657
Irricana,1221,1240,1314,1.55610155610156,5.96774193548387
Stirling,1205,1350,2890,12.0331950207469,114.074074074074
Special Area No. 3,1174,1043,640,-11.1584327086882,-38.6385426653883
Manning,1161,1153,1139,-0.689061154177433,-1.21422376409367
White Fish Lake 128,1130,1122,719,-0.707964601769911,-35.9180035650624
Alexander 134,1112,1139,1269,2.42805755395683,11.4135206321334
Duchess,1089,1045,1008,-4.04040404040404,-3.54066985645933
Bentley,1074,1153,1612,7.35567970204842,39.8091934084996
Kehewin 123,1065,1064,1357,-0.0938967136150235,27.5375939849624
Smoky Lake,1052,1159,2506,10.171102661597,116.220880069025
Eckville,1048,1088,1534,3.81679389312977,40.9926470588235
Improvement District No. 9 Banff,1047,1144,1342,9.26456542502388,17.3076923076923
Falher,1037,1084,1422,4.53230472516876,31.1808118081181
Trochu,1024,1191,2310,16.30859375,93.9546599496222
Spirit River,1022,927,683,-9.29549902152642,-26.3214670981661
Wabamun 133A,1018,1005,1045,-1.2770137524558,3.98009950248756
Viking,1012,964,1034,-4.74308300395257,7.26141078838174
Thorsby,998,928,846,-7.01402805611222,-8.83620689655172
Onoway,995,957,1520,-3.81909547738693,58.8296760710554
Hay Lake 209,992,942,820,-5.04032258064516,-12.9511677282378
Oyen,946,961,1089,1.58562367864693,13.3194588969823
Killam,943,887,712,-5.93849416755037,-19.7294250281849
Coronation,888,885,854,-0.337837837837838,-3.50282485875706
Bashaw,868,905,1604,4.26267281105991,77.2375690607735
Boyle,849,859,1486,1.17785630153121,72.9918509895227
Milk River,844,826,1112,-2.13270142180095,34.6246973365617
Utikoomak Lake 155,832,851,932,2.28365384615385,9.51821386603995
Forestburg,827,833,632,0.725513905683192,-24.1296518607443
Castor,824,876,1244,6.31067961165049,42.0091324200913
Alexis 133,800,814,861,1.75,5.77395577395577
Alix,796,877,1508,10.1758793969849,71.9498289623717
John D'Or Prairie 215,730,811,328,11.0958904109589,-59.5561035758323
